AD_rule,region,n,R2,RMSE,MAE,median_fold_error,within_2_fold_percent,within_5_fold_percent,within_10_fold_percent,SSE,SST
in_AD_S0.85_N1,outside,410,0.36959776337246575,0.7329929352026122,0.51032041743008,2.038517901682836,49.02439024390244,74.63414634146342,86.09756097560975,220.28424365334573,349.43442591796844
in_AD_S0.85_N3,inside,32,0.9425814104065778,0.27715288279685385,0.16209524526207347,1.2234326283609753,84.375,96.875,96.875,2.458039054163412,42.80911585548599
in_AD_S0.85_N3,outside,1036,0.7293783644752625,0.47497590370982484,0.24708641102734666,1.2024330993379502,77.99227799227799,89.57528957528957,94.3050193050193,233.72378503274354,863.6552084224577
in_AD_S0.85_N5,inside,9,0.9605428345966005,0.18401628674475962,0.1204989143473713,1.2129048664611464,88.88888888888889,100.0,100.0,0.30475794408596635,7.723766797999884
in_AD_S0.85_N5,outside,1059,0.7413371515108342,0.4719487917985333,0.24559403158035045,1.2031437022137434,78.09254013220018,89.70727101038716,94.3342776203966,235.87706614282092,911.9093349530665
in_AD_S0.85_N10,inside,0,,,,,,,,,
in_AD_S0.85_N10,outside,1068,0.7440083591104456,0.4702595347719388,0.24453985924411747,1.2035698578941294,78.18352059925093,89.7940074906367,94.3820224719101,236.18182408690694,922.6153762919382
in_AD_S0.85_N20,inside,0,,,,,,,,,
in_AD_S0.85_N20,outside,1068,0.7440083591104456,0.4702595347719388,0.24453985924411747,1.2035698578941294,78.18352059925093,89.7940074906367,94.3820224719101,236.18182408690694,922.6153762919382
in_AD_S0.90_N1,inside,651,0.9785844515930582,0.1349433448044281,0.07366972079098356,1.109980572862977,96.7741935483871,99.53917050691244,99.84639016897081,11.85451880586141,553.547290996237
in_AD_S0.90_N1,outside,417,0.386928119500906,0.7334542716077652,0.5112939602824633,2.035486314930197,49.16067146282973,74.58033573141488,85.85131894484412,224.32730528104548,365.9070207206755
in_AD_S0.90_N3,inside,16,0.9738361317284835,0.16671685707607567,0.11236235188579707,1.1446239505450926,93.75,100.0,100.0,0.44471216693319426,16.997187201761474
in_AD_S0.90_N3,outside,1052,0.7390765725571753,0.4733758624478692,0.24655016353854062,1.2052358328366592,77.9467680608365,89.63878326996198,94.29657794676805,235.7371119199737,903.4723873985215
in_AD_S0.90_N5,inside,1,,0.4931505550830342,0.4931505550830342,3.112795250019388,0.0,100.0,100.0,0.24319746997870473,0.0
in_AD_S0.90_N5,outside,1067,0.7442718968143665,0.47023755847755483,0.2443068595291794,1.2031437022137434,78.25679475164011,89.78444236176195,94.3767572633552,235.93862661692822,922.6151669598078
in_AD_S0.90_N10,inside,0,,,,,,,,,
in_AD_S0.90_N10,outside,1068,0.7440083591104456,0.4702595347719388,0.24453985924411747,1.2035698578941294,78.18352059925093,89.7940074906367,94.3820224719101,236.18182408690694,922.6153762919382
in_AD_S0.90_N20,inside,0,,,,,,,,,
in_AD_S0.90_N20,outside,1068,0.7440083591104456,0.4702595347719388,0.24453985924411747,1.2035698578941294,78.18352059925093,89.7940074906367,94.3820224719101,236.18182408690694,922.6153762919382
